record_id,record_source,normalized_state,semantic_role,package,file,line,text,evidence_layer,independence_note
NEG-CANON-0001,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,MENCION_METODOLOGICA_O_DE_INDICE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/00_INICIO/00_LEEME.md,9,"1. **Núcleo canónico actual:** conceptos que sobrevivieron a la auditoría. 2. **Resultados demostrados dentro de modelos:** válidos bajo los ansätze y condiciones indicados. 3. **Hipótesis y programas abiertos:** todavía no derivados. 4. **Historia y resultados negativos:** rutas abandonadas, corregidas o refutadas.",DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0002,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,MENCION_METODOLOGICA_O_DE_INDICE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/00_INICIO/00_LEEME.md,16,- Ontología canónica. - Axiomas mínimos provisionales. - Formalismo y ecuaciones clave. - Catálogo automático de ecuaciones de todos los Markdown canónicos. - Mapa de derivaciones y dependencias. - Base maestra de validaciones numéricas. - Parámetros y condiciones de prueba. - Fenomenología de decaimiento alfa. - Resultados negativos y correcciones. - Problemas abiertos y programa prioritario. - Auditorías completas. - Fuentes originales deduplicadas. - Código y materiales de reproducibilidad.,DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0003,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,NEGATIVO_LIMITACION_O_NO_DERIVACION_SUSTANTIVA_DECLARADA,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/00_INICIO/00_LEEME.md,34,- `CANÓNICO`: definición o principio actual. - `DERIVADO_EN_MODELO`: demostrado bajo un modelo concreto. - `APOYADO_NUMÉRICAMENTE`: respaldado por pruebas computacionales. - `HIPÓTESIS`: propuesta aún no derivada. - `REFUTADO/SUPERADO`: no debe usarse como parte vigente de la teoría.,DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0004,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,OCURRENCIA_EN_AGREGADO_NO_INDEPENDIENTE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/03_CATALOGO_TODAS_ECUACIONES_EXTRAIDAS.md,42095,"\[ \boxed{ \text{III realiza la intuición de una “partícula cuántica macroscópica”, pero requiere protección adicional que todavía no se ha derivado}. } \]",AGREGADO_DERIVADO_CATALOGO,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0005,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,OCURRENCIA_EN_AGREGADO_NO_INDEPENDIENTE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/03_CATALOGO_TODAS_ECUACIONES_EXTRAIDAS.md,59325,**Fecha:** 2026-07-31 **Versión:** 33.0 **Estado:** se obtienen cotas mínimas desde la ontología y una selección condicional de \(SU(3)\) y \(SU(2)\). No se ha derivado todavía el Modelo Estándar completo.,AGREGADO_DERIVADO_CATALOGO,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0006,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,OCURRENCIA_EN_AGREGADO_NO_INDEPENDIENTE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/03_CATALOGO_TODAS_ECUACIONES_EXTRAIDAS.md,74392,"\[ \boxed{ \text{III realiza la intuición de una “partícula cuántica macroscópica”, pero requiere protección adicional que todavía no se ha derivado}. } \]",AGREGADO_DERIVADO_CATALOGO,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0007,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,MENCION_METODOLOGICA_O_DE_INDICE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/04_VALIDACION_NUMERICA/00_GUIA_VALIDACIONES.md,9,- bloque/documento/versión; - modelo o rama; - pregunta probada; - método; - parámetros; - resultado; - precisión o residuo cuando existe; - estatus; - archivo fuente; - limitación.,DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0008,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,ENCABEZADO_O_MENCION_BREVE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/00_SINTESIS.md,1,# Síntesis de resultados negativos,DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0009,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,ENCABEZADO_O_MENCION_BREVE,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/06_FENOMENOLOGIA/ALFA_DATOS/Geometry_Omega_Derivacion_Restriccion_Alfa_v68_2026-08-02.md,632,### No se ha derivado el perfil \(f(\ell)\),DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
NEG-CANON-0010,CATALOGO_NEGATIVOS_CANON,NEGATIVO_O_LIMITACION_DECLARADA,NEGATIVO_LIMITACION_O_NO_DERIVACION_SUSTANTIVA_DECLARADA,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/06_FENOMENOLOGIA/ALFA_DATOS/Geometry_Omega_Derivacion_Restriccion_Alfa_v68_2026-08-02.md,638,No se ha derivado la carga desde las relaciones orientadas.,DOCUMENTO_DEL_PAQUETE,OCURRENCIA; PUEDE_DUPLICAR_OTRA_FUENTE
